Tm,#Bat,BatAge,R/G,G_x,PA,AB,R_x,H_x,2B,3B,HR_x,RBI,SB,CS,BB_x,SO_x,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_x,SH,SF,IBB_x,LOB_x,#Fld,RA/G_x,DefEff,G_y,GS_x,CG_x,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,#P,PAge,RA/G_y,W,L,W-L%,ERA,G,GS_y,GF,CG_y,tSho,cSho,SV,IP,H_y,R_y,ER,HR_y,BB_y,IBB_y,SO_y,HBP_y,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_y
Arizona Diamondbacks,36,27.9,5.03,38,1467,1273,191,315,77,6,48,186,31,8,153,291,.247,.332,.430,.762,112,548,29,16,7,17,5,264,36,4.89,.702,38,342,276,3069.0,1388,1023,343,22,31,.984,13,5,-3,0,-2,21,30.2,4.89,20,18,.526,4.43,38,38,38,0,1,0,12,341.0,314,186,168,51,126,3,329,17,1,9,1456,96,4.38,1.290,8.3,1.3,3.3,8.7,2.61,254
Athletics,33,26.7,4.34,38,1440,1303,165,336,59,6,47,158,17,5,116,281,.258,.319,.421,.740,108,548,35,6,3,10,2,256,33,4.97,.686,38,342,263,3066.0,1343,1022,295,26,21,.981,-22,-9,-27,-1,-1,20,29.1,4.97,20,18,.526,4.46,38,38,38,0,3,0,12,340.2,333,189,169,39,148,4,306,17,3,5,1500,92,4.25,1.412,8.8,1.0,3.9,8.1,2.07,294
Atlanta Braves,39,28.4,4.03,37,1393,1250,149,300,52,4,41,143,24,5,125,322,.240,.312,.386,.699,96,483,21,9,3,6,2,267,38,4.05,.717,37,333,266,2937.0,1321,979,329,13,26,.990,15,6,15,4,0,22,29.7,4.05,18,19,.486,4.00,37,37,37,0,2,0,7,326.1,281,150,145,45,127,8,323,11,2,15,1366,105,4.19,1.250,7.7,1.2,3.5,8.9,2.54,243
Baltimore Orioles,38,27.5,3.72,36,1296,1170,134,266,47,4,43,126,18,7,98,317,.227,.295,.385,.679,98,450,29,18,0,10,1,212,38,5.64,.670,36,324,246,2799.0,1282,933,328,21,31,.984,-17,-7,-4,0,-3,22,31.3,5.64,13,23,.361,5.50,36,36,36,0,1,0,6,311.0,351,203,190,56,124,2,258,12,1,18,1385,69,5.10,1.527,10.2,1.6,3.6,7.5,2.08,250
Boston Red Sox,36,27.6,4.90,39,1510,1344,191,341,75,5,46,181,45,7,139,348,.254,.329,.420,.749,109,564,18,16,2,9,9,283,35,4.41,.680,39,351,290,3129.0,1431,1043,357,31,34,.978,11,4,5,0,0,21,29.7,4.41,20,19,.513,3.91,39,39,39,0,3,0,9,347.2,332,172,151,36,120,4,322,19,1,7,1483,107,3.80,1.300,8.6,0.9,3.1,8.3,2.68,274
Chicago Cubs,37,28.8,5.87,38,1511,1335,223,344,68,9,55,219,48,8,149,307,.258,.335,.446,.780,121,595,17,11,5,11,3,278,37,4.34,.699,38,342,269,3078.0,1354,1026,307,21,31,.984,7,3,21,2,4,22,30.9,4.34,22,16,.579,3.95,38,38,38,0,5,0,8,342.0,318,165,150,37,129,5,298,13,0,8,1457,103,4.02,1.307,8.4,1.0,3.4,7.8,2.31,273
Chicago White Sox,39,27.2,3.37,38,1380,1228,128,265,48,1,26,124,28,7,128,326,.216,.293,.320,.613,77,393,22,9,4,8,1,254,39,4.39,.695,38,342,222,2919.0,1308,973,308,27,33,.979,-10,-4,0,0,-1,18,27.7,4.39,10,28,.263,4.25,38,38,38,0,3,0,1,324.1,309,167,153,41,144,5,274,25,1,10,1419,96,4.62,1.397,8.6,1.1,4.0,7.6,1.90,281
Cincinnati Reds,39,27.5,4.74,39,1483,1315,185,318,60,3,40,178,43,13,143,342,.242,.322,.383,.705,93,504,20,16,2,7,4,262,39,4.00,.740,39,351,266,3123.0,1347,1041,284,22,16,.984,14,5,5,0,0,20,29.4,4.00,19,20,.487,3.58,39,39,39,0,3,0,11,347.0,273,156,138,47,117,3,330,14,1,14,1432,125,4.10,1.124,7.1,1.2,3.0,8.6,2.82,240
Cleveland Guardians,33,27.7,4.24,37,1370,1211,157,288,50,2,42,146,29,9,122,290,.238,.311,.386,.697,99,468,20,14,6,17,5,240,33,4.62,.673,37,333,222,2934.0,1283,978,278,27,30,.979,-7,-3,9,0,-1,20,27.8,4.62,22,15,.595,4.31,37,37,37,0,3,0,13,326.0,326,171,156,42,141,2,304,10,0,15,1418,94,4.31,1.433,9.0,1.2,3.9,8.4,2.16,272
Colorado Rockies,37,28.0,3.11,37,1347,1215,115,256,54,10,29,114,18,7,106,367,.211,.280,.343,.623,69,417,26,14,4,8,4,235,36,6.05,.651,37,333,257,2889.0,1360,963,366,31,33,.977,-14,-6,-8,0,0,19,28.2,6.05,6,31,.162,5.47,37,37,37,0,0,0,5,321.0,375,224,195,42,128,4,249,11,2,18,1436,86,4.55,1.567,10.5,1.2,3.6,7.0,1.95,254
